[inf] 2018-04-18 19:32:50 | App connected with redis server
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11658063739414047765
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 10463774309719752321
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 10463774309719752321
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15447152737731362056
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15447152737731362056
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 7460551747180234397
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 7460551747180234397
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 5320193054840987046
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 5320193054840987046
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 1409520532108790942
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 1409520532108790942
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11086585501332939093
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11086585501332939093
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 13279887870737697659
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 13279887870737697659
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11402321099400953484
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11402321099400953484
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11162999349646044617
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11162999349646044617
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 3625594542683872452
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 3625594542683872452
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11084623343501014306
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11084623343501014306
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 13710421385354306534
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 13710421385354306534
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 4314449102555988869
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 4314449102555988869
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 9409186032031132177
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 9409186032031132177
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 9586324214996689000
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 9586324214996689000
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 2092288096683173547
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 2092288096683173547
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 4691691394444600310
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 4691691394444600310
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 4932441652657126162
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 4932441652657126162
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 1443726677440357630
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 1443726677440357630
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 12077442758764042227
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 12077442758764042227
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 7628958495455777359
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 7628958495455777359
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15420004874586025072
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15420004874586025072
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 13732024212304278675
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 13732024212304278675
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 16846264659227987163
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 16846264659227987163
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 14118039144342231435
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 14118039144342231435
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 12209505599791594010
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 12209505599791594010
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15314145043346184556
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15314145043346184556
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11478709231291341630
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11478709231291341630
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 13424328304945734341
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 13424328304945734341
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15696235211425893027
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15696235211425893027
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15024831779854648222
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15024831779854648222
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15907394387631081982
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15907394387631081982
